"age","ageGroup","area","laborForce","employment","industry","barrier","empType","homeBased","informal","sequence","weight"
20,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.346533
25,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.346533
43,"25-64","Urban","Labor force","employed","Others",NA,"Unpaid","home based","formal","Urban-Labor force-employed-Others-Unpaid-home based-formal",0.346533
27,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.346533
40,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.346533
17,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.346533
32,"25-64","Urban","Labor force","employed","Others",NA,"Self employed","home based","formal","Urban-Labor force-employed-Others-Self employed-home based-formal",0.346533
20,"15-24","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Self employed","home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Self employed-home based-formal",0.346533
37,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.346533
23,"15-24","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Self employed","home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Self employed-home based-formal",0.346533
38,"25-64","Urban","Labor force","employed","Others",NA,"Self employed","home based","formal","Urban-Labor force-employed-Others-Self employed-home based-formal",0.346533
22,"15-24","Urban","Labor force","employed","Transport, Storage and Communication",NA,"Paid","not home based","formal","Urban-Labor force-employed-Transport, Storage and Communication-Paid-not home based-formal",0.346533
23,"15-24","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.346533
33,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.346533
22,"15-24","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.346533
34,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.390429
15,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.390429
19,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.390429
46,"25-64","Urban","Labor force","employed","Others",NA,"Paid","not home based","informal","Urban-Labor force-employed-Others-Paid-not home based-informal",0.390429
15,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.390429
16,"15-24","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.390429
45,"25-64","Urban","Labor force","employed","Others",NA,"Paid","not home based","informal","Urban-Labor force-employed-Others-Paid-not home based-informal",0.390429
16,"15-24","Urban","Not in labor force",NA,NA,"Transport",NA,NA,NA,"Urban-Not in labor force-Transport",0.390429
53,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.390429
29,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.390429
15,"15-24","Urban","Not in labor force",NA,NA,"Inadequate Promotion Opportunities",NA,NA,NA,"Urban-Not in labor force-Inadequate Promotion Opportunities",0.390429
17,"15-24","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.390429
17,"15-24","Urban","Labor force","employed","Manufacturing",NA,"Paid","not home based","informal","Urban-Labor force-employed-Manufacturing-Paid-not home based-informal",0.390429
16,"15-24","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.390429
24,"15-24","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.390429
38,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.390429
61,"25-64","Urban","Labor force","unemployed",NA,NA,NA,NA,NA,"Urban-Labor force-unemployed",0.281109
24,"15-24","Urban","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Urban-Not in labor force-Male Colleagues",0.281109
38,"25-64","Urban","Labor force","employed","Others",NA,"Paid","home based","informal","Urban-Labor force-employed-Others-Paid-home based-informal",0.281109
15,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.281109
49,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.281109
37,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.281109
35,"25-64","Urban","Labor force","employed","Others",NA,"Paid","not home based","informal","Urban-Labor force-employed-Others-Paid-not home based-informal",0.281109
20,"15-24","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","home based","informal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-home based-informal",0.281109
34,"25-64","Urban","Labor force","employed","Others",NA,"Self employed","home based","formal","Urban-Labor force-employed-Others-Self employed-home based-formal",0.281109
21,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.281109
26,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.281109
20,"15-24","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.281109
23,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.281109
16,"15-24","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.281109
32,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Self employed","home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Self employed-home based-formal",0.281109
15,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.281109
36,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.281109
27,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.281109
16,"15-24","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.281109
17,"15-24","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.281109
51,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.173383
33,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.173383
39,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.173383
31,"25-64","Urban","Not in labor force",NA,NA,"Lack of Training Opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of Training Opportunities",0.173383
21,"15-24","Urban","Labor force","unemployed",NA,NA,NA,NA,NA,"Urban-Labor force-unemployed",0.173383
45,"25-64","Urban","Labor force","employed","Agriculture",NA,"Self employed","home based",NA,"Urban-Labor force-employed-Agriculture-Self employed-home based",0.173383
18,"15-24","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Self employed","home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Self employed-home based-formal",0.173383
34,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Self employed","home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Self employed-home based-formal",0.173383
45,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.173383
28,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-home based-formal",0.173383
17,"15-24","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.173383
37,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.173383
30,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.173383
34,"25-64","Urban","Not in labor force",NA,NA,"Lack of Training Opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of Training Opportunities",0.173383
17,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.173383
32,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.173383
29,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.173383
41,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.173383
21,"15-24","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Self employed","home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Self employed-home based-formal",0.173383
38,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.556275
40,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.556275
37,"25-64","Urban","Labor force","unemployed",NA,NA,NA,NA,NA,"Urban-Labor force-unemployed",0.556275
16,"15-24","Urban","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Urban-Not in labor force-No Barrier",0.556275
38,"25-64","Urban","Not in labor force",NA,NA,"Family",NA,NA,NA,"Urban-Not in labor force-Family",0.556275
59,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.556275
29,"25-64","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.556275
20,"15-24","Urban","Labor force","employed","Others",NA,"Paid","home based","informal","Urban-Labor force-employed-Others-Paid-home based-informal",0.556275
43,"25-64","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.556275
55,"25-64","Urban","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Urban-Not in labor force-Lack of qualifications/ experience",0.556275
15,"15-24","Urban","Not in labor force",NA,NA,"Lack of appropriate job opportunities",NA,NA,NA,"Urban-Not in labor force-Lack of appropriate job opportunities",0.556275
43,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.556275
17,"15-24","Urban","Not in labor force",NA,NA,"Inadequate Promotion Opportunities",NA,NA,NA,"Urban-Not in labor force-Inadequate Promotion Opportunities",0.556275
29,"25-64","Urban","Labor force","unemployed",NA,NA,NA,NA,NA,"Urban-Labor force-unemployed",0.556275
24,"15-24","Urban","Labor force","employed","Community, Social and Personal Services",NA,"Paid","not home based","formal","Urban-Labor force-employed-Community, Social and Personal Services-Paid-not home based-formal",0.556275
27,"25-64","Urban","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Urban-Labor force-employed-Manufacturing-Self employed-home based-formal",0.556275
24,"15-24","Urban","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Urban-Not in labor force-Domestic Work/Caring responsibilities",0.556275
30,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.007177
18,"15-24","Rural","Labor force","unemployed",NA,NA,NA,NA,NA,"Rural-Labor force-unemployed",1.007177
44,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.007177
38,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.007177
30,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-home based",1.007177
48,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-home based",1.007177
53,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.007177
33,"25-64","Rural","Labor force","employed","Agriculture",NA,"Paid","not home based",NA,"Rural-Labor force-employed-Agriculture-Paid-not home based",1.007177
20,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.007177
15,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.007177
63,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","not home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-not home based",1.007177
52,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.007177
48,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.007177
38,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","not home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-not home based",1.007177
20,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.007177
17,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.007177
16,"15-24","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",1.007177
26,"25-64","Rural","Labor force","employed","Agriculture",NA,"Unpaid","not home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-not home based",1.007177
47,"25-64","Rural","Labor force","employed","Manufacturing",NA,"Paid","home based","informal","Rural-Labor force-employed-Manufacturing-Paid-home based-informal",1.007177
26,"25-64","Rural","Labor force","employed","Agriculture",NA,"Unpaid","not home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-not home based",1.007177
16,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.310414
18,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.310414
22,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.310414
19,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.310414
35,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","not home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-not home based",1.310414
43,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",1.310414
45,"25-64","Rural","Labor force","employed","Agriculture",NA,"Employer","not home based",NA,"Rural-Labor force-employed-Agriculture-Employer-not home based",1.310414
29,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",1.310414
40,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.310414
18,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.310414
18,"15-24","Rural","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Rural-Labor force-employed-Manufacturing-Self employed-home based-formal",1.310414
16,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.310414
55,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-home based",1.310414
21,"15-24","Rural","Labor force","employed","Manufacturing",NA,"Self employed","home based","formal","Rural-Labor force-employed-Manufacturing-Self employed-home based-formal",1.310414
56,"25-64","Rural","Labor force","unemployed",NA,NA,NA,NA,NA,"Rural-Labor force-unemployed",1.310414
23,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.310414
49,"25-64","Rural","Labor force","employed","Agriculture",NA,"Unpaid","not home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-not home based",1.310414
25,"25-64","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",1.310414
16,"15-24","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",1.310414
19,"15-24","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",1.310414
18,"15-24","Rural","Labor force","employed","Agriculture",NA,"Paid","not home based",NA,"Rural-Labor force-employed-Agriculture-Paid-not home based",0.953709
22,"15-24","Rural","Labor force","employed","Manufacturing",NA,"Paid","home based","informal","Rural-Labor force-employed-Manufacturing-Paid-home based-informal",0.953709
34,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.953709
24,"15-24","Rural","Labor force","employed","Agriculture",NA,"Paid","not home based",NA,"Rural-Labor force-employed-Agriculture-Paid-not home based",0.953709
17,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.953709
16,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.953709
24,"15-24","Rural","Labor force","employed","Agriculture",NA,"Self employed","not home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-not home based",0.953709
48,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.953709
22,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.953709
22,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.953709
22,"15-24","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",0.953709
23,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.953709
25,"25-64","Rural","Labor force","employed","Others",NA,"Unpaid","home based","formal","Rural-Labor force-employed-Others-Unpaid-home based-formal",0.953709
33,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.953709
25,"25-64","Rural","Labor force","employed","Agriculture",NA,"Unpaid","home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-home based",0.953709
26,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.953709
31,"25-64","Rural","Labor force","employed","Agriculture",NA,"Paid","not home based",NA,"Rural-Labor force-employed-Agriculture-Paid-not home based",0.953709
26,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.953709
15,"15-24","Rural","Labor force","employed","Manufacturing",NA,"Paid","home based","informal","Rural-Labor force-employed-Manufacturing-Paid-home based-informal",0.953709
52,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.913766
53,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.913766
22,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.913766
29,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.913766
17,"15-24","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.913766
18,"15-24","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.913766
41,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.913766
37,"25-64","Rural","Labor force","employed","Construction",NA,"Self employed","not home based","informal","Rural-Labor force-employed-Construction-Self employed-not home based-informal",0.913766
40,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.913766
17,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.913766
41,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","not home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-not home based",0.913766
40,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.913766
57,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",0.913766
39,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.913766
35,"25-64","Rural","Labor force","employed","Others",NA,"Unpaid","home based","formal","Rural-Labor force-employed-Others-Unpaid-home based-formal",0.913766
16,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",0.913766
15,"15-24","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",0.913766
28,"25-64","Rural","Not in labor force",NA,NA,"Domestic Work/Caring responsibilities",NA,NA,NA,"Rural-Not in labor force-Domestic Work/Caring responsibilities",0.913766
15,"15-24","Rural","Labor force","employed","Agriculture",NA,"Unpaid","not home based",NA,"Rural-Labor force-employed-Agriculture-Unpaid-not home based",0.913766
19,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.064095
42,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.064095
39,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.064095
23,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.064095
40,"25-64","Rural","Labor force","employed","Manufacturing",NA,"Unpaid","not home based","formal","Rural-Labor force-employed-Manufacturing-Unpaid-not home based-formal",1.064095
28,"25-64","Rural","Not in labor force",NA,NA,"Male Colleagues",NA,NA,NA,"Rural-Not in labor force-Male Colleagues",1.064095
30,"25-64","Rural","Labor force","employed","Manufacturing",NA,"Paid","not home based","formal","Rural-Labor force-employed-Manufacturing-Paid-not home based-formal",1.064095
22,"15-24","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.064095
26,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.064095
29,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.064095
41,"25-64","Rural","Labor force","employed","Manufacturing",NA,"Paid","not home based","formal","Rural-Labor force-employed-Manufacturing-Paid-not home based-formal",1.064095
37,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-home based",1.064095
40,"25-64","Rural","Labor force","employed","Agriculture",NA,"Self employed","not home based",NA,"Rural-Labor force-employed-Agriculture-Self employed-not home based",1.064095
41,"25-64","Rural","Labor force","employed","Manufacturing",NA,"Paid","not home based","informal","Rural-Labor force-employed-Manufacturing-Paid-not home based-informal",1.064095
37,"25-64","Rural","Labor force","employed","Others",NA,"Unpaid","home based","formal","Rural-Labor force-employed-Others-Unpaid-home based-formal",1.064095
20,"15-24","Rural","Not in labor force",NA,NA,"Transport",NA,NA,NA,"Rural-Not in labor force-Transport",1.064095
22,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.064095
28,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",1.064095
35,"25-64","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",1.064095
20,"15-24","Rural","Not in labor force",NA,NA,"Lack of qualifications/ experience",NA,NA,NA,"Rural-Not in labor force-Lack of qualifications/ experience",1.064095
25,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.359674
28,"25-64","Rural","Labor force","employed","Community, Social and Personal Services",NA,"Paid","home based","informal","Rural-Labor force-employed-Community, Social and Personal Services-Paid-home based-informal",1.359674
25,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.359674
39,"25-64","Rural","Labor force","employed","Agriculture",NA,"Paid","not home based",NA,"Rural-Labor force-employed-Agriculture-Paid-not home based",1.359674
58,"25-64","Rural","Labor force","employed","Agriculture",NA,"Paid","not home based",NA,"Rural-Labor force-employed-Agriculture-Paid-not home based",1.359674
39,"25-64","Rural","Not in labor force",NA,NA,"Family",NA,NA,NA,"Rural-Not in labor force-Family",1.359674
28,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.359674
18,"15-24","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.359674
59,"25-64","Rural","Not in labor force",NA,NA,"No Barrier",NA,NA,NA,"Rural-Not in labor force-No Barrier",1.359674
55,"25-64","Rural","Labor force","unemployed",NA,NA,NA,NA,NA,"Rural-Labor force-unemployed",1.359674
34,"25-64","Rural","Labor force","employed","Others",NA,"Self employed","home based","formal","Rural-Labor force-employed-Others-Self employed-home based-formal",1.359674
